rank,title,authors,publication_type,published_date,publication,doi,url,abstract_snippet
224,Direct Automated Feedback Delivery for Student Submissions based on LLMs,Maximilian Sölch; Felix T. J. Dietrich; Stephan Krusche,research-article,July 2025,FSE Companion '25: Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,10.1145/3696630.3727247,https://dl.acm.org/doi/10.1145/3696630.3727247,"Timely and individualized feedback is essential for students' learning progress and motivation, yet providing such feedback has become increasingly challenging due to growing student numbers. This has resulted in a time-consuming, repetitive, and often ..."
225,DataEd '25: Proceedings of the 4th International Workshop on Data Systems Education: Bridging Education Practice with Education Research,Michael Liut; Sourav Bhowmick; Abdussalam Alawini,proceeding,July 2025,,10.1145/3735091,https://dl.acm.org/doi/proceedings/10.1145/3735091,
226,Overview of the “Information Retrieval in Software Engineering” (IRSE) track at Forum for Information Retrieval 2024,Soumen Paul; Srijoni Majumdar; Raj Shah; Susmita Das; Madhusudan Ghosh; Debasis Ganguly; Gul Calikli; Debarshi Sanyal; Partha Pratim Das; Paul D. Clough; Ayan Bandyopadhyay; Samiran Chattopadhyay,short-paper,July 2025,FIRE '24: Proceedings of the 16th Annual Meeting of the Forum for Information Retrieval Evaluation,10.1145/3734947.3735667,https://dl.acm.org/doi/10.1145/3734947.3735667,"The “Software Engineering Information Retrieval” (IRSE) track aims to devise solutions for the automated evaluation of code comments within a machine learning framework, with labels generated by both humans and large language models. Within this track, we ..."
227,FIRE '24: Proceedings of the 16th Annual Meeting of the Forum for Information Retrieval Evaluation,Debasis Ganguly; Debarshi Kumar Sanyal; Prasenjit Majumder; Srijoni Majumdar; Surupendu Gangopadhyay,proceeding,July 2025,,10.1145/3734947,https://dl.acm.org/doi/proceedings/10.1145/3734947,
228,PEARC '25: Practice and Experience in Advanced Research Computing 2025: The Power of Collaboration,Dana Brunson; Daphne McCanse; Ruth Marinshaw; Shafaq Chaudhry,proceeding,July 2025,,10.1145/3708035,https://dl.acm.org/doi/proceedings/10.1145/3708035,
229,AICI '25: Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence,,proceeding,July 2025,,10.1145/3730436,https://dl.acm.org/doi/proceedings/10.1145/3730436,
230,SIGIR '25: Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,Nicola Ferro; Maria Maistro; Gabriella Pasi; Omar Alonso; Andrew Trotman; Suzan Verberne,proceeding,July 2025,,10.1145/3726302,https://dl.acm.org/doi/proceedings/10.1145/3726302,"It is our great pleasure to welcome you to the 48th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval (ACM SIGIR 2025), taking place in Padova, Italy, from July 13th to July 18th, 2025. This year's conference ..."
231,DeTAILS: Deep Thematic Analysis with Iterative LLM Support,Ansh Sharma; James R Wallace,demonstration,July 2025,CUI '25: Proceedings of the 7th ACM Conference on Conversational User Interfaces,10.1145/3719160.3735657,https://dl.acm.org/doi/10.1145/3719160.3735657,"Qualitative thematic analysis (TA) is valuable but challenging to scale because of the time, cost, and complexity involved. Existing tools offer limited automation and often lack flexibility, trustworthiness, and usability with unstructured data. To ..."
232,CUI '25: Proceedings of the 7th ACM Conference on Conversational User Interfaces,Jaisie Sin; Edith Law; Jim Wallace; Cosmin Munteanu; Danai Korre,proceeding,July 2025,,10.1145/3719160,https://dl.acm.org/doi/proceedings/10.1145/3719160,
233,DIS '25: Proceedings of the 2025 ACM Designing Interactive Systems Conference,Nuno Jardim Nunes; Valentina Nisi; Ian Oakley; Qian Yang; Clement Zheng,proceeding,July 2025,,10.1145/3715336,https://dl.acm.org/doi/proceedings/10.1145/3715336,
234,Explaining Explanations: An Empirical Study of Explanations in Code Reviews,Ratnadira Widyasari; Ting Zhang; Abir Bouraffa; Walid Maalej; David Lo,research-article,July 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 6",10.1145/3708518,https://dl.acm.org/doi/10.1145/3708518,"Code reviews are central for software quality assurance. Ideally, reviewers should explain their feedback to enable authors of code changes to understand the feedback and act accordingly. Different developers might need different explanations in different ..."
235,Exploring the Capabilities of LLMs for Code-Change-Related Tasks,Lishui Fan; Jiakun Liu; Zhongxin Liu; David Lo; Xin Xia; Shanping Li,research-article,July 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 6",10.1145/3709358,https://dl.acm.org/doi/10.1145/3709358,"Developers deal with code-change-related tasks daily, e.g., reviewing code. Pre-trained code and code-change-oriented models have been adapted to help developers with such tasks. Recently, large language models (LLMs) have shown their effectiveness in ..."
236,On the Practicability of Deep Learning Based Anomaly Detection for Modern Online Software Systems: A Pre-Train-and-Align Framework,Zilong He; Pengfei Chen; Zibin Zheng,research-article,July 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 6",10.1145/3712195,https://dl.acm.org/doi/10.1145/3712195,"Operation and maintenance are critical activities in the whole lifecycle of modern online software systems, and anomaly detection is a crucial step of these activities. Recent studies mainly develop deep learning techniques to complete this task. Notably, ..."
237,ITiCSE 2025: Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1,Erik Barendsen; Floor Binkhorst; Ángel Velázquez-Iturbide; Jaime Urquiza Fuentes; James Paterson; Keith Quille,proceeding,June 2025,,10.1145/3724363,https://dl.acm.org/doi/proceedings/10.1145/3724363,"Welcome to the 30th annual conference on Innovation and Technology in Computer Science Education (ITiCSE 2025), hosted by Radboud University in Nijmegen, The Netherlands. ITiCSE 2025 will take place from Friday, 27 June to Wednesday, 2 July. The ..."
238,A Survey of Machine Learning Approaches for Malware Detec-tion,Yibiao Wu; Honglin Zhuang; Yetao Jia; Yuting Zhang,research-article,June 2025,CNSSE '25: Proceedings of the 2025 5th International Conference on Computer Network Security and Software Engineering,10.1145/3732365.3732410,https://dl.acm.org/doi/10.1145/3732365.3732410,"At present, due to the rapid evolution of malicious code and the rapid progress of science and technology, the security of information system has been put forward higher requirements. This research systematically reviews the current detection ..."
239,CNSSE '25: Proceedings of the 2025 5th International Conference on Computer Network Security and Software Engineering,,proceeding,June 2025,,10.1145/3732365,https://dl.acm.org/doi/proceedings/10.1145/3732365,
240,"ISCCN '25: Proceedings of the 2025 4th International Conference on Intelligent Systems, Communications and Computer Networks",,proceeding,June 2025,,10.1145/3732945,https://dl.acm.org/doi/proceedings/10.1145/3732945,
241,Safe4U: Identifying Unsound Safe Encapsulations of Unsafe Calls in Rust using LLMs,Huan Li; Bei Wang; Xing Hu; Xin Xia,research-article,June 2025,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 2, Issue ISSTA",10.1145/3728890,https://dl.acm.org/doi/10.1145/3728890,"Rust is an emerging programming language that ensures safety through strict compile-time checks. A Rust function marked as unsafe indicates it has additional safety requirements (e.g., initialized, not null), known as contracts in the community. These ..."
242,CHIWORK '25: Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,Shadan Sadeghian; Abdallah “Abdo” El Ali; Carine Lallemand; Philipp Wintersberger; Erin Solovey,proceeding,June 2025,,10.1145/3729176,https://dl.acm.org/doi/proceedings/10.1145/3729176,"Welcome to CHIWORK 2025, the 4th Annual Symposium on Human-Computer Interaction for Work to be held at Centrum Wiskunde & Informatica (CWI) in Amsterdam, The Netherlands. CHIWORK is the annual symposium that aims to grow our understanding of how Human-..."
243,Leveraging Large Language Models for Code Translation and Software Development in Scientific Computing,Akash Dhruv; Anshu Dubey,research-article,June 2025,PASC '25: Proceedings of the Platform for Advanced Scientific Computing Conference,10.1145/3732775.3733572,https://dl.acm.org/doi/10.1145/3732775.3733572,"The emergence of foundational models and generative artificial intelligence (GenAI) is poised to transform productivity in scientific computing, especially in code development, refactoring, and translating from one programming language to another. ..."
244,Smaller but Better: Self-Paced Knowledge Distillation for Lightweight yet Effective LCMs,Yujia Chen; Yang Ye; Zhongqi Li; Yuchi Ma; Cuiyun Gao,research-article,June 2025,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 2, Issue FSE",10.1145/3729405,https://dl.acm.org/doi/10.1145/3729405,"Large code models (LCMs) have remarkably advanced the field of code generation. Despite their impressive capabilities, they still face practical deployment issues, such as high inference costs, limited accessibility of proprietary LCMs, and adaptability ..."
245,Automatically Fixing Dependency Breaking Changes,Lukas Fruntke; Jens Krinke,research-article,June 2025,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 2, Issue FSE",10.1145/3729366,https://dl.acm.org/doi/10.1145/3729366,"Breaking changes in dependencies are a common challenge in software development, requiring manual intervention to resolve. This study examines how well LLM automate the repair of breaking changes caused by dependency updates in Java projects. Although ..."
246,Towards Diverse Program Transformations for Program Simplification,Haibo Wang; Zezhong Xing; Chengnian Sun; Zheng Wang; Shin Hwei Tan,research-article,June 2025,"Proceedings of the ACM on Software Engineering (PACMSE), Volume 2, Issue FSE",10.1145/3715730,https://dl.acm.org/doi/10.1145/3715730,"By reducing the number of lines of code, program simplification reduces code complexity, improving software maintainability and code comprehension. While several existing techniques can be used for automatic program simplification, there is no consensus ..."
247,Generating Personalized Assignments with Students in the Loop,Avid Fayaz; Richard Glassey; Alexander Baltatzis,research-article,June 2025,ITiCSE 2025: Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1,10.1145/3724363.3729070,https://dl.acm.org/doi/10.1145/3724363.3729070,We present a system that enables students to generate their own programming assignments that are both personalized to their interests and aligned with the course objectives. A group of twelve undergraduate students randomly selected from an introductory ...
248,E-Energy '25: Proceedings of the 16th ACM International Conference on Future and Sustainable Energy Systems,,proceeding,June 2025,,10.1145/3679240,https://dl.acm.org/doi/proceedings/10.1145/3679240,
249,SOAP '25: Proceedings of the 14th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis,Kihong Heo; Luca Negrini,proceeding,June 2025,,10.1145/3735544,https://dl.acm.org/doi/proceedings/10.1145/3735544,
250,CODASPY '25: Proceedings of the Fifteenth ACM Conference on Data and Application Security and Privacy,James Joshi; Jaideep Vaidya; Haya Schulmann,proceeding,June 2025,,10.1145/3714393,https://dl.acm.org/doi/proceedings/10.1145/3714393,It is our great pleasure to welcome you to the fifteenth edition of the ACM Conference on Data and Application Security and Privacy (CODASPY 2025). This conference series has been founded to foster novel and exciting research in the data and application ...
251,ECSEE '25: Proceedings of the 6th European Conference on Software Engineering Education,Jürgen Mottok; Georg Hagel,proceeding,June 2025,,10.1145/3723010,https://dl.acm.org/doi/proceedings/10.1145/3723010,
252,Artificial Intelligence for Software Engineering: The Journey So Far and the Road Ahead,Iftekhar Ahmed; Aldeida Aleti; Haipeng Cai; Alexander Chatzigeorgiou; Pinjia He; Xing Hu; Mauro Pezzè; Denys Poshyvanyk; Xin Xia,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3719006,https://dl.acm.org/doi/10.1145/3719006,"Artificial intelligence and recent advances in deep learning architectures, including transformer networks and large language models, change the way people think and act to solve problems. Software engineering, as an increasingly complex process to ..."
253,From Today’s Code to Tomorrow’s Symphony: The AI Transformation of Developer’s Routine by 2030,Ketai Qiu; Niccolò Puccinelli; Matteo Ciniselli; Luca Di Grazia,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3709353,https://dl.acm.org/doi/10.1145/3709353,"In the rapidly evolving landscape of software engineering, the integration of AI into the Software Development Lifecycle (SDLC) heralds a transformative era for developers. Recently, we have assisted to a pivotal shift toward AI-assisted programming, ..."
254,A 2030 Roadmap for Software Engineering,Mauro Pezzè; Silvia Abrahão; Birgit Penzenstadler; Denys Poshyvanyk; Abhik Roychoudhury; Tao Yue,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3731559,https://dl.acm.org/doi/10.1145/3731559,The landscape of software engineering has dramatically changed in recent years. The impressive advances of artificial intelligence are just the latest and most disruptive innovation that has remarkably changed the software engineering research and ...
255,Research Directions in Software Supply Chain Security,Laurie Williams; Giacomo Benedetti; Sivana Hamer; Ranindya Paramitha; Imranur Rahman; Mahzabin Tamanna; Greg Tystahl; Nusrat Zahan; Patrick Morrison; Yasemin Acar; Michel Cukier; Christian Kästner; Alexandros Kapravelos; Dominik Wermke; William Enck,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3714464,https://dl.acm.org/doi/10.1145/3714464,"Reusable software libraries, frameworks, and components, such as those provided by open source ecosystems and third-party suppliers, accelerate digital innovation. However, recent years have shown almost exponential growth in attackers leveraging these ..."
256,ETRA '25: Proceedings of the 2025 Symposium on Eye Tracking Research and Applications,Yusuke Sugano; Mohamed Khamis; Aladine Chetouani; Ludwig Sidenmark; Alessandro Bruno,proceeding,May 2025,,10.1145/3715669,https://dl.acm.org/doi/proceedings/10.1145/3715669,
257,Automatic Programming: Large Language Models and Beyond,Michael R. Lyu; Baishakhi Ray; Abhik Roychoudhury; Shin Hwei Tan; Patanamon Thongtanunam,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3708519,https://dl.acm.org/doi/10.1145/3708519,"Automatic programming has seen increasing popularity due to the emergence of tools like GitHub Copilot which rely on Large Language Models (LLMs). At the same time, automatically generated code faces challenges during deployment due to concerns around ..."
258,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead",Junda He; Christoph Treude; David Lo,research-article,May 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5",10.1145/3712003,https://dl.acm.org/doi/10.1145/3712003,Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This article explores the transformative potential ...
259,Supporting Software Engineers in IT Security and Privacy through Automated Knowledge Discovery,Marco Ehl; Amir Shayan Ahmadian; Katharina Großer; Duaa Adel Ali Elsofi; Marc Herrmann; Alexander Specht; Kurt Schneider; Jan Jürjens,research-article,May 2025,SAC '25: Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,10.1145/3672608.3707798,https://dl.acm.org/doi/10.1145/3672608.3707798,"Security and privacy are increasingly essential concepts in software engineering. New threats and corresponding countermeasures are continuously discovered. Concurrently, projects are becoming more complex and are exposed to a greater number of threats. ..."
260,MetaAgents: Large Language Model Based Agents for Decision-Making on Teaming,Yuan Li; Lichao Sun; Yixuan Zhang,research-article,May 2025,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 9, Issue 2",10.1145/3711032,https://dl.acm.org/doi/10.1145/3711032,"Significant advancements have occurred in the application of Large Language Models (LLMs) for social simulations. Despite this, their abilities to perform teaming in task-oriented social events are underexplored. Such capabilities are crucial if LLMs are ..."
261,Distinguishing LLM-Generated from Human-Written Code by Contrastive Learning,Xiaodan Xu; Chao Ni; Xinrong Guo; Shaoxuan Liu; Xiaoya Wang; Kui Liu; Xiaohu Yang,research-article,April 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 4",10.1145/3705300,https://dl.acm.org/doi/10.1145/3705300,"Large language models (LLMs), such as ChatGPT released by OpenAI, have attracted significant attention from both industry and academia due to their demonstrated ability to generate high-quality content for various tasks. Despite the impressive ..."
262,AI for DevSecOps: A Landscape and Future Opportunities,Michael Fu; Jirat Pasuksmit; Chakkrit Tantithamthavorn,survey,April 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 4",10.1145/3712190,https://dl.acm.org/doi/10.1145/3712190,"DevOps has emerged as one of the most rapidly evolving software development paradigms. With the growing concerns surrounding security in software systems, the DevSecOps paradigm has gained prominence, urging practitioners to incorporate security practices ..."
263,ICSIE '24: Proceedings of the 2024 13th International Conference on Software and Information Engineering,,proceeding,April 2025,,10.1145/3708635,https://dl.acm.org/doi/proceedings/10.1145/3708635,
264,Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Classes,Kantwon Rogers; Michael Davis; Mallesh Maharana; Pete Etheredge; Sonia Chernova,research-article,April 2025,CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,10.1145/3706598.3713644,https://dl.acm.org/doi/10.1145/3706598.3713644,"This work presents the iterative design and evaluation of a large-language-model (LLM) based teachable agent, MatlabTutee, that facilitates learning-by-teaching (LBT) experiences within university computer science courses. We detail four different ..."
265,Private Yet Social: How LLM Chatbots Support and Challenge Eating Disorder Recovery,Ryuhaerang Choi; Taehan Kim; Subin Park; Jennifer G. Kim; Sung-Ju Lee,research-article,April 2025,CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,10.1145/3706598.3713485,https://dl.acm.org/doi/10.1145/3706598.3713485,"Eating disorders (ED) are complex mental health conditions that require long-term management and support. Recent advancements in large language model (LLM)-based chatbots offer the potential to assist individuals in receiving immediate support. Yet, ..."
266,Talk to the Hand: an LLM-powered Chatbot with Visual Pointer as Proactive Companion for On-Screen Tasks,Thanawit Prasongpongchai; Pat Pataranutaporn; Monchai Lertsutthiwong; Pattie Maes,research-article,April 2025,CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,10.1145/3706598.3715579,https://dl.acm.org/doi/10.1145/3706598.3715579,"This paper presents Pointer Assistant, a novel human-AI interaction technique for on-screen tasks. The design features a chatbot displayed as an extra mouse pointer, alongside the user’s, which proactively gives feedback on user actions while directing ..."
267,GenieWizard: Multimodal App Feature Discovery with Large Language Models,Jackie (Junrui) Yang; Yingtian Shi; Chris Gu; Zhang Zheng; Anisha Jain; Tianshi Li; Monica S. Lam; James A. Landay,research-article,April 2025,CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,10.1145/3706598.3714327,https://dl.acm.org/doi/10.1145/3706598.3714327,"Multimodal interactions are more flexible, efficient, and adaptable than graphical interactions, allowing users to execute commands beyond simply tapping GUI buttons. However, the flexibility of multimodal commands makes it hard for designers to prototype ..."
268,ISEC '25: Proceedings of the 18th Innovations in Software Engineering Conference,Jitendra Chhabra; Lov Kumar; Sridhar Chimalakonda; Paddy Krishan; Sangharatna Godboley,proceeding,April 2025,,10.1145/3717383,https://dl.acm.org/doi/proceedings/10.1145/3717383,
269,Artemis: Toward Accurate Detection of Server-Side Request Forgeries through LLM-Assisted Inter-procedural Path-Sensitive Taint Analysis,Yuchen Ji; Ting Dai; Zhichao Zhou; Yutian Tang; Jingzhu He,research-article,April 2025,"Proceedings of the ACM on Programming Languages (PACMPL), Volume 9, Issue OOPSLA1",10.1145/3720488,https://dl.acm.org/doi/10.1145/3720488,Server-side request forgery (SSRF) vulnerabilities are inevitable in PHP web applications. Existing static tools in detecting vulnerabilities in PHP web applications neither contain SSRF-related features to enhance detection accuracy nor consider PHP’s ...
270,Analyzing LLM Usage in an Advanced Computing Class in India,Utkarsh Arora; Anupam Garg; Aryan Gupta; Samyak Jain; Ronit Mehta; Rupin Oberoi; Prachi; Aryaman Raina; Manav Saini; Sachin Sharma; Jaskaran Singh; Sarthak Tyagi; Dhruv Kumar,research-article,April 2025,ACE '25: Proceedings of the 27th Australasian Computing Education Conference,10.1145/3716640.3716657,https://dl.acm.org/doi/10.1145/3716640.3716657,"This study examines the use of large language models (LLMs) by undergraduate and graduate students for programming assignments in advanced computing classes. Unlike existing research, which primarily focuses on introductory classes and lacks in-depth ..."
271,ACE '25: Proceedings of the 27th Australasian Computing Education Conference,Carolyn Seton; Simon,proceeding,April 2025,,10.1145/3716640,https://dl.acm.org/doi/proceedings/10.1145/3716640,
272,Incorporating LLM Activities into Established CS1 Curriculum: An Experience Report,Amanda S. Fernandez; David Patrick; Mauricio Gomez; Kimberly A. Cornell,article,April 2025,"Journal of Computing Sciences in Colleges (JCSC), Volume 40, Issue 8",,https://dl.acm.org/doi/10.5555/3737313.3737334,"Large Language Models (LLMs), including Gemini, CoPilot, and ChatGPT, have experienced significant growth in usage and adoption in recent years. As these models become more sophisticated, particularly in code generation capabilities, educators need to ..."
273,"ASPLOS '25: Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",Lieven Eeckhout; Georgios Smaragdakis; Katai Liang; Adrian Sampson; Martha Kim; Christopher J. Rossbach,proceeding,March 2025,,10.1145/3676641,https://dl.acm.org/doi/proceedings/10.1145/3676641,Welcome to the second of three volumes of the ASPLOS 2025 proceedings. This volume includes the papers from the summer submission cycle that underwent a major revision and the directly accepted papers from the fall cycle. There will be one more final ...
274,EuroSys '25: Proceedings of the Twentieth European Conference on Computer Systems,,proceeding,March 2025,,10.1145/3689031,https://dl.acm.org/doi/proceedings/10.1145/3689031,"We are delighted to welcome you to EuroSys 2025, the 20th edition of the European Conference on Computer Systems! We are excited to host EuroSys 2025 in the modern and dynamic city of Rotterdam, Netherlands. This year's EuroSys is very special as it is ..."
275,Improving FIM Code Completions via Context & Curriculum Based Learning,Hitesh Sagtani; Rishabh Mehrotra; Beyang Liu,research-article,March 2025,WSDM '25: Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,10.1145/3701551.3703563,https://dl.acm.org/doi/10.1145/3701551.3703563,"Fill-in-the-Middle (FIM) models play a vital role in code completion tasks, leveraging both prefix and suffix context to provide more accurate and contextually relevant suggestions. This paper presents approaches to improve FIM code completion while ..."
276,WSDM '25: Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,Wolfgang Nejdl; Sören Auer; Oliver Karras; Meeyoung Cha; Marie-Francine Moens; Marc Najork,proceeding,March 2025,,10.1145/3701551,https://dl.acm.org/doi/proceedings/10.1145/3701551,"Welcome to the 18th ACM International Conference on Web and Data Mining, this time taking place in Hannover, Germany. Many volunteers have helped to provide excellent content for the conference, most of all the 3 PC Chairs, Meeyoung Cha (Max Planck ..."
277,Automated Generation of Challenge Questions for Student Code Evaluation Using Abstract Syntax Tree Embeddings and RAG: An Exploratory Study,Anis Boubaker; Ying Fang,research-article,March 2025,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology Management,10.1145/3711403.3711450,https://dl.acm.org/doi/10.1145/3711403.3711450,This paper presents an exploratory study on detecting learning gaps in student-submitted code by generating automated challenge questions. The proposed method compares the abstract syntax trees (ASTs) of student code with those of class-taught examples ...
278,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology Management,,proceeding,March 2025,,10.1145/3711403,https://dl.acm.org/doi/proceedings/10.1145/3711403,
279,"AISNS '24: Proceedings of the 2024 2nd International Conference on Artificial Intelligence, Systems and Network Security",,proceeding,March 2025,,10.1145/3714334,https://dl.acm.org/doi/proceedings/10.1145/3714334,
280,LAK '25: Proceedings of the 15th International Learning Analytics and Knowledge Conference,,proceeding,March 2025,,10.1145/3706468,https://dl.acm.org/doi/proceedings/10.1145/3706468,
281,PPoPP '25: Proceedings of the 30th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming,,proceeding,February 2025,,10.1145/3710848,https://dl.acm.org/doi/proceedings/10.1145/3710848,
282,HotMobile '25: Proceedings of the 26th International Workshop on Mobile Computing Systems and Applications,,proceeding,February 2025,,10.1145/3708468,https://dl.acm.org/doi/proceedings/10.1145/3708468,
283,Peer Code Review Methods: An Experience Report from a Data Structures and Algorithms Course,Roxane Koitz-Hristov,research-article,February 2025,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,10.1145/3641554.3701799,https://dl.acm.org/doi/10.1145/3641554.3701799,"Peer code review is a key practice in professional software development, and its integration into computer science education can provide valuable learning experiences for students. However, few reports compare different peer code review methods within a ..."
284,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,Jeffrey A. Stone; Timothy Yuen; Libby Shoop; Samuel A. Rebelsky; James Prather,proceeding,February 2025,,10.1145/3641554,https://dl.acm.org/doi/proceedings/10.1145/3641554,"Welcome to the 56th annual SIGCSE Technical Symposium on Computer Science Education (SIGCSE TS 2025)! For the first time since 1978, our symposium is being held in the ""Steel City"" of Pittsburgh, Pennsylvania, at the intersection of the Allegheny, Ohio, ..."
285,SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 2,Jeffrey A. Stone; Timothy Yuen; Libby Shoop; Samuel A. Rebelsky; James Prather,proceeding,February 2025,,10.1145/3641555,https://dl.acm.org/doi/proceedings/10.1145/3641555,"Welcome to the 56th annual SIGCSE Technical Symposium on Computer Science Education (SIGCSE TS 2025)! For the first time since 1978, our symposium is being held in the ""Steel City"" of Pittsburgh, Pennsylvania, at the intersection of the Allegheny, Ohio, ..."
286,"A Systematic Literature Review of the Opportunities and Advantages for AIGC (OpenAI ChatGPT, Copilot, Codex) in Programming Course",Chi In Chang; Wan Chong Choi; Iek Chong Choi,research-article,January 2025,ICBDE '24: Proceedings of the 2024 7th International Conference on Big Data and Education,10.1145/3704289.3704301,https://dl.acm.org/doi/10.1145/3704289.3704301,"This systematic literature review explored the opportunities and advantages of integrating Artificial Intelligence Generated Content (AIGC) tools like OpenAI's ChatGPT, Copilot, and Codex in programming education. From an initial pool of 1,173 papers, 24 ..."
287,ICBDE '24: Proceedings of the 2024 7th International Conference on Big Data and Education,,proceeding,January 2025,,10.1145/3704289,https://dl.acm.org/doi/proceedings/10.1145/3704289,
288,"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",James Prather; Juho Leinonen; Natalie Kiesler; Jamie Gorson Benario; Sam Lau; Stephen MacNeil; Narges Norouzi; Simone Opel; Vee Pettit; Leo Porter; Brent N. Reeves; Jaromir Savelka; David H. Smith; Sven Strickroth; Daniel Zingaro,research-article,January 2025,ITiCSE 2024: 2024 Working Group Reports on Innovation and Technology in Computer Science Education,10.1145/3689187.3709614,https://dl.acm.org/doi/10.1145/3689187.3709614,"Generative AI (GenAI) is advancing rapidly, and the literature in computing education is expanding almost as quickly. Initial responses to GenAI tools were mixed between panic and utopian optimism. Many were fast to point out the opportunities and ..."
289,ITiCSE 2024: 2024 Working Group Reports on Innovation and Technology in Computer Science Education,Mattia Monga; Violetta Lonati; Erik Barendsen; Judithe Sheard; James Paterson,proceeding,January 2025,,10.1145/3689187,https://dl.acm.org/doi/proceedings/10.1145/3689187,"In these proceedings, we present papers from the Working Groups that worked in the context of the 29th Annual Conference on Innovation & Technology in Computer Science Education (ITiCSE), held in Milan Italy, and hosted by Università degli Studi di ..."
290,ICETC '24: Proceedings of the 2024 16th International Conference on Education Technology and Computers,,proceeding,January 2025,,10.1145/3702163,https://dl.acm.org/doi/proceedings/10.1145/3702163,
291,Is It Hard to Generate Holistic Commit Message?,Guoqing Wang; Zeyu Sun; Jinhao Dong; Yuxia Zhang; Mingxuan Zhu; Qingyuan Liang; Dan Hao,research-article,January 2025,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 2",10.1145/3695996,https://dl.acm.org/doi/10.1145/3695996,"Commit messages are important for developers to understand the content and the reason for code changes. However, poor and even empty commit messages widely exist. To improve the quality of commit messages and development efficiency, many commit message ..."
292,Generative Co-Learners: Enhancing Cognitive and Social Presence of Students in Asynchronous Learning with Generative AI,Tianjia Wang; Tong Wu; Huayi Liu; Chris Brown; Yan Chen,research-article,January 2025,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 9, Issue 1",10.1145/3701198,https://dl.acm.org/doi/10.1145/3701198,"Cognitive presence and social presence are crucial for a comprehensive learning experience. Despite the flexibility of asynchronous learning environments to accommodate individual schedules, the inherent constraints of asynchronous environments make ..."
293,ICAITE '24: Proceedings of the 2024 International Conference on Artificial Intelligence and Teacher Education,,proceeding,January 2025,,10.1145/3702386,https://dl.acm.org/doi/proceedings/10.1145/3702386,
